# r Xi(r) Xi(r)-ShotNoise
# z = 0
2.884564674660011292e+02 2.609820719118471476e-03 -2.515960599118008104e+05
2.894536159027413191e+02 5.641348221722771242e-03 -2.515960568802733032e+05
2.904982539522475236e+02 -2.599341454713240823e-03 -2.515960651209629723e+05
2.915301851908365620e+02 1.180791109800338788e-03 -2.515960613408304052e+05
2.925296489854063680e+02 4.238114498629427969e-03 -2.515960582835070381e+05
2.935434835524786195e+02 1.051430220878313396e-04 -2.515960624164784967e+05
2.944751741536458098e+02 -3.165457646052042585e-03 -2.515960656870791863e+05
2.954482252003691087e+02 1.987779796316399821e-03 -2.515960605338417226e+05
2.966191439241976582e+02 9.238252649316797127e-03 -2.515960532833688776e+05
2.975436729592499319e+02 3.043269552853172127e-04 -2.515960622172945586e+05
2.984776994293811185e+02 2.813625699294678307e-03 -2.515960597079958243e+05
2.994198339288885222e+02 5.829152555176705594e-03 -2.515960566924689629e+05
3.004837863000525431e+02 1.157816305802138266e-03 -2.515960613638052309e+05
3.015858598528287189e+02 9.830951326119424967e-04 -2.515960615385263809e+05
3.024896663857377348e+02 -1.920655709967765629e-03 -2.515960644422772457e+05
3.035337267850352418e+02 4.384127338375665844e-03 -2.515960581374941976e+05
3.045119515578373921e+02 2.104968965633267387e-03 -2.515960604166525591e+05
3.054892557779947992e+02 2.786319785647921928e-03 -2.515960597353017365e+05
3.065723870171440808e+02 1.066525225286130488e-03 -2.515960614550962928e+05
3.075180705795939957e+02 -1.977136501899132495e-03 -2.515960644987580308e+05
3.084803577984950493e+02 -5.280002605083377286e-03 -2.515960678016241291e+05
3.095415898740681087e+02 -5.986540925269033531e-04 -2.515960631202756194e+05
3.104895509168836725e+02 -1.096083958943684829e-02 -2.515960734824611282e+05
3.114472839189160140e+02 3.597422906423459587e-03 -2.515960589241986163e+05
3.125285603750522228e+02 -4.228151897722115700e-03 -2.515960667497734248e+05
3.135236104329426894e+02 5.138773566637284095e-03 -2.515960573828479683e+05
3.145321647667810794e+02 4.734197880991522674e-03 -2.515960577874236333e+05
3.155500009994060520e+02 -3.520765151196752953e-03 -2.515960660423866648e+05
3.165177958170572765e+02 -3.916978836059570312e-03 -2.515960664386003627e+05
3.174846285306490472e+02 8.988534356211567902e-04 -2.515960616227680875e+05
3.185176672363281227e+02 -6.775783697764079221e-04 -2.515960631991999107e+05
3.195199706829814090e+02 -1.698492187084537980e-03 -2.515960642201137089e+05
3.205470688680484841e+02 -7.717564690509510356e-04 -2.515960632933779852e+05
3.214399524035754325e+02 2.070384698587137123e-03 -2.515960604512368154e+05
3.224962051498306437e+02 -9.569999499198717560e-04 -2.515960634786214796e+05
3.235237240261501483e+02 5.140108470287588389e-04 -2.515960620076106861e+05
3.244555539999942084e+02 4.182105602071971469e-03 -2.515960583395159338e+05
3.255214985469807516e+02 1.377869450468623006e-03 -2.515960611437520711e+05
3.264610651568636968e+02 -1.975223340623365794e-03 -2.515960644968448614e+05
3.274537945737932887e+02 3.985144911032698425e-03 -2.515960585364766011e+05
3.285006025567973893e+02 -1.517210393602832683e-04 -2.515960626733425597e+05
3.295990970270420348e+02 -1.871430130831917447e-03 -2.515960643930516671e+05
3.305373947411252971e+02 9.275457838125396098e-04 -2.515960615940757561e+05
3.315443827784338851e+02 2.099338612815206204e-03 -2.515960604222829279e+05
3.324368346683562550e+02 -4.044534352721360602e-03 -2.515960665661558742e+05
3.334854715036791504e+02 5.697353095663302853e-04 -2.515960619518862222e+05
3.345037191747649672e+02 1.570577059334855689e-03 -2.515960609510444629e+05
3.355103363011741635e+02 4.260691026797020810e-03 -2.515960582609304984e+05
3.364178658774621908e+02 2.747910960873864526e-03 -2.515960597737105563e+05
3.374052522720829188e+02 2.084116781911542465e-03 -2.515960604375047551e+05
3.384985564148541926e+02 3.985521284121911444e-03 -2.515960585361002304e+05
3.394711070873119070e+02 -1.143973845022696082e-03 -2.515960636655953713e+05
3.404780892409847297e+02 -2.247638621572720964e-03 -2.515960647692601488e+05
3.414884819555534818e+02 2.156837118996514022e-03 -2.515960603647844109e+05
3.425292686637435509e+02 1.054027141668857767e-03 -2.515960614675943798e+05
3.435026922173838670e+02 2.697314069570739496e-03 -2.515960598243074492e+05
3.445873051396122833e+02 2.950340054913024295e-03 -2.515960595712814829e+05
3.455438014842845860e+02 -1.503376129232807026e-03 -2.515960640249976423e+05
3.464979588190714708e+02 4.760704468935728073e-04 -2.515960620455510798e+05
3.473751363966200074e+02 3.346957100762261179e-03 -2.515960591746644350e+05
3.484683138699001574e+02 2.257278495364719011e-03 -2.515960602643430175e+05
3.495076392113745669e+02 8.120179732084830413e-04 -2.515960617096035567e+05
3.504566196326053387e+02 -4.923287304964932797e-03 -2.515960674449088401e+05
3.515206238598024697e+02 1.182191943796192211e-03 -2.515960613394295797e+05
3.525601145426432481e+02 1.984781689114040702e-03 -2.515960605368398246e+05
3.534642785713497801e+02 -2.542381064366486124e-04 -2.515960627758596384e+05
3.543979239021626313e+02 1.909785700919932987e-03 -2.515960606118358264e+05
3.554268261424282400e+02 -7.876640251069737773e-05 -2.515960626003879297e+05
3.564833319981892714e+02 -1.373521517962217331e-03 -2.515960638951430446e+05
3.574650285396618301e+02 3.427443717489179142e-04 -2.515960621788771532e+05
3.584779816056254163e+02 -1.546298352100496532e-03 -2.515960640679198841e+05
3.595260857171743964e+02 -1.944652650971244196e-03 -2.515960644662741688e+05
3.605048211904672257e+02 -4.468425216837825734e-04 -2.515960629684640444e+05
3.615443075710547873e+02 -2.330566161250865586e-03 -2.515960648521877010e+05
3.625052233161236472e+02 1.567722599019684025e-03 -2.515960609538989374e+05
3.635354059007432852e+02 -3.792111520413999140e-03 -2.515960663137330557e+05
3.645086746302616802e+02 1.546662144015402331e-03 -2.515960609749593714e+05
3.654913578879069860e+02 -2.472529270378826752e-03 -2.515960649941508018e+05
3.664656391226367873e+02 1.089124839543264243e-03 -2.515960614324966737e+05
3.675135060058317436e+02 2.074862578931203124e-03 -2.515960604467589583e+05
3.684766199593591978e+02 -1.336156738677410104e-05 -2.515960625349830952e+05
3.694990757533482224e+02 4.299229454426537964e-03 -2.515960582223920792e+05
3.704602275240248446e+02 -2.216444283291913505e-03 -2.515960647380658193e+05
3.715433140610203395e+02 1.601138861492426655e-03 -2.515960609204826760e+05
3.725261336853182570e+02 6.516942541107876782e-03 -2.515960560046789760e+05
3.734999362660103088e+02 -2.487882667658280187e-04 -2.515960627704098006e+05
3.744204982939220372e+02 -1.680400825682140577e-03 -2.515960642020223604e+05
3.754980766669853551e+02 -2.915204321587836021e-03 -2.515960654368258547e+05
3.764619036639178375e+02 -4.112088533095371520e-03 -2.515960666337100556e+05
3.774796233967663852e+02 1.102484802511286520e-03 -2.515960614191367349e+05
3.784718971800005534e+02 4.790587858720259627e-03 -2.515960577310336812e+05
3.794238277207936676e+02 -1.892396814249472283e-03 -2.515960644140183285e+05
3.804993567745115115e+02 2.209766211931763966e-03 -2.515960603118553117e+05
3.815373202416204776e+02 -3.656114814102008701e-03 -2.515960661777363275e+05
3.824890336369685429e+02 -1.328085395800035224e-03 -2.515960638497069303e+05
3.834790100906834596e+02 2.510482163140267866e-03 -2.515960600111393724e+05
3.844884957918556552e+02 -2.947468142355641994e-03 -2.515960654690896627e+05
3.855057954576280395e+02 -2.019938716182002360e-03 -2.515960645415602485e+05
3.865485107229334858e+02 -1.946449530488183598e-03 -2.515960644680710684e+05
3.875249259111550373e+02 1.875389066542157510e-03 -2.515960606462324504e+05
3.885145661941682533e+02 -1.434204193076702100e-03 -2.515960639558257244e+05
